date,entity,entity_name,variable,unit,value_gov,iso3_code,value_us_aid,share
2022,country/THA,Thailand,ONE/who_che-gghed,USD,19296946522.242897,THA,16066518.942741008,0.083
2022,country/TJK,Tajikistan,ONE/who_che-gghed,USD,187469971.26306537,TJK,19795876.865652423,10.559
2022,country/TKM,Turkmenistan,ONE/who_che-gghed,USD,622759617.9685715,TKM,1660370.8259491182,0.267
2022,country/TLS,East Timor,ONE/who_che-gghed,USD,172344135.87000003,TLS,5262684.505744403,3.054
2022,country/TON,Tonga,ONE/who_che-gghed,USD,19405729.85827498,TON,304266.15278598707,1.568
2022,country/TUN,Tunisia,ONE/who_che-gghed,USD,1824429630.4034023,TUN,2530429.040271628,0.139
2022,country/TUR,Turkey,ONE/who_che-gghed,USD,25248898279.049793,TUR,1997400.5959020443,0.008
2022,country/TUV,Tuvalu,ONE/who_che-gghed,USD,7855830.72499408,TUV,77594.31076811125,0.988
2022,country/TZA,Tanzania,ONE/who_che-gghed,USD,728273392.0144972,TZA,317506592.41949797,43.597
2022,country/UGA,Uganda,ONE/who_che-gghed,USD,464984794.5427739,UGA,285921103.75646836,61.49
2022,country/UZB,Uzbekistan,ONE/who_che-gghed,USD,2013061322.9554403,UZB,27457315.285549816,1.364
2022,country/VCT,Saint Vincent and the Grenadines,ONE/who_che-gghed,USD,30637609.999999993,VCT,91799.78794765478,0.3
2022,country/VEN,Venezuela,ONE/who_che-gghed,USD,2670471123.3399963,VEN,11282810.19012254,0.423
2022,country/VNM,Vietnam,ONE/who_che-gghed,USD,8214138502.112772,VNM,47313454.1170677,0.576
2022,country/VUT,Vanuatu,ONE/who_che-gghed,USD,17103347.956915107,VUT,642952.0876050363,3.759
2022,country/WSM,Samoa,ONE/who_che-gghed,USD,40513997.42205054,WSM,568112.2160776694,1.402
2022,country/YEM,Yemen,ONE/who_che-gghed,USD,71922330.35202715,YEM,23130594.32462762,32.161
2022,country/ZAF,South Africa,ONE/who_che-gghed,USD,21904982422.560196,ZAF,236476291.59352717,1.08
2022,country/ZAF,South Africa,ONE/who_che-gghed,USD,21904982422.560196,ZAF,1303491.9646387107,0.006
2022,country/ZMB,Zambia,ONE/who_che-gghed,USD,731119057.3307348,ZMB,199606700.06546995,27.302
2022,country/ZWE,Zimbabwe,ONE/who_che-gghed,USD,368847423.71,ZWE,158636885.6659914,43.009
